SL.NO,MODEL,BIAS MITIGATION TECH/FAIRNESS METRIC,Accuracy,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
SL.NO,model names,objective,1,1,1,0,0,0,0,1,0
GC1,RANDOM FOREST WITH HYPER PARAMS,MODEL VALUE,0.71,0.82840237,0.98381696,-0.01605759,0,-0.02547453,-0.00498339,0.98733333,0.05700535
GC1,RANDOM FOREST WITH HYPER PARAMS,REWEIGHTING,0.6900509,0.81446548,0.99435319,-0.00559654,0,-0.02547453,-0.15984948,0.98733333,0.05700535
GC1,RANDOM FOREST WITH HYPER PARAMS,DIR,0.70666667,0.82608696,0.95982143,-0.03986711,-0.03448276,-0.0427159,0.01882614,0.984,0.06040005
GC1,RANDOM FOREST WITH HYPER PARAMS,AD,0.7,0.82352941,1,0,0,0,0.0110742,1,0.05754982
GC1,RANDOM FOREST WITH HYPER PARAMS,PRR,0.69666667,0.80922432,0.71966527,-0.25968992,-0.34616117,-0.20404962,0.22868217,0.894,0.11340183
GC1,RANDOM FOREST WITH HYPER PARAMS,EO,0.70333333,0.82235529,0.97894138,-0.02048726,-0.01790817,-0.0214416,0.01495017,0.95666667,0.07026137
GC1,RANDOM FOREST WITH HYPER PARAMS,CEO,0.7,0.82283465,0.95238095,-0.04761905,-0.03448276,-0.05570292,0.0110742,0.98733333,0.06076734
GC1,RANDOM FOREST WITH HYPER PARAMS,ROC,0.66666667,0.73684211,0.91312741,-0.04983389,-0.21337398,0.05814818,0.24916944,0.78266667,0.30305789
GC2,XGBOOST WITH HYPER PARAMS,MODEL VALUE,0.69333333,0.81746032,0.85714286,-0.14285714,-0.13793103,-0.14588859,0.05869324,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,REWEIGHTING,0.66791942,0.79986143,0.85906921,-0.14093079,-0.13793103,-0.14588859,-0.07131738,0.97333333,0.07083238
GC2,XGBOOST WITH HYPER PARAMS,DIR,0.71333333,0.81702128,0.9872449,-0.0110742,-0.06058297,0.02265557,0.08194906,0.96266667,0.11518651
GC2,XGBOOST WITH HYPER PARAMS,AD,0.70666667,0.82186235,0.86345382,-0.13178295,-0.16136407,-0.11215057,0.10188261,0.95666667,0.0797669
GC2,XGBOOST WITH HYPER PARAMS,PRR,0.69666667,0.80922432,0.71966527,-0.25968992,-0.34616117,-0.20404962,0.22868217,0.894,0.11340183
GC2,XGBOOST WITH HYPER PARAMS,EO,0.61666667,0.75374732,1.00064641,0.00055371,0.02781482,-0.01756112,-0.03045404,0.80933333,0.17805955
GC2,XGBOOST WITH HYPER PARAMS,CEO,0.71333333,0.81702128,0.9872449,-0.0110742,-0.06058297,0.02265557,0.08194906,0.96266667,0.11518651
GC2,XGBOOST WITH HYPER PARAMS,ROC,0.62,0.68681319,1.02380952,0.01218162,-0.09049343,0.08112691,0.13953488,0.788,0.37137874
GC3,XGBOOST,MODEL VALUE,0.68666667,0.78733032,0.6760082,-0.26245847,-0.28119642,-0.24749132,0.13399779,0.78933333,0.17893612
GC3,XGBOOST,REWEIGHTING,0.66582229,0.7689255,0.70200767,-0.23886195,-0.28119642,-0.24749132,0.10418248,0.78933333,0.17893612
GC3,XGBOOST,DIR,0.71,0.7972028,0.75604396,-0.18438538,-0.26462183,-0.12931391,0.18881506,0.79866667,0.18578789
GC3,XGBOOST,AD,0.70333333,0.82306163,0.88783482,-0.11129568,-0.10344828,-0.1156602,0.04263566,0.976,0.06703029
GC3,XGBOOST,PRR,0.69666667,0.80922432,0.71966527,-0.25968992,-0.34616117,-0.20404962,0.22868217,0.894,0.11340183
GC3,XGBOOST,EO,0.57666667,0.66666667,1.00291545,0.00166113,-0.02152791,0.01820707,0.0337763,0.60466667,0.37296686
GC3,XGBOOST,CEO,0.68,0.80487805,0.57142857,-0.42857143,-0.4137931,-0.43766578,0.15393134,0.93733333,0.09792283
GC3,XGBOOST,ROC,0.65666667,0.7082153,0.94124424,-0.0282392,-0.09049343,0.01769035,0.09911406,0.72133333,0.35983972
GC4,RANDOM FOREST,MODEL VALUE,0.72333333,0.81838074,0.69176319,-0.26522702,-0.27300438,-0.25638231,0.12126246,0.84733333,0.13051753
GC4,RANDOM FOREST,REWEIGHTING,0.70058862,0.79987218,0.72749638,-0.23174176,-0.27300438,-0.25638231,0.07925776,0.84733333,0.13051753
GC4,RANDOM FOREST,DIR,0.70333333,0.8043956,0.72928898,-0.22978959,-0.25090493,-0.21336456,0.12569214,0.83533333,0.14621985
GC4,RANDOM FOREST,AD,0.70333333,0.82306163,0.88783482,-0.11129568,-0.10344828,-0.1156602,0.04263566,0.976,0.06703029
GC4,RANDOM FOREST,PRR,0.69666667,0.80922432,0.71966527,-0.25968992,-0.34616117,-0.20404962,0.22868217,0.894,0.11340183
GC4,RANDOM FOREST,EO,0.61333333,0.70707071,0.99821429,-0.00110742,-0.01333587,0.00931608,0.02104097,0.65733333,0.31443067
GC4,RANDOM FOREST,CEO,0.68333333,0.80808081,0.64285714,-0.35714286,-0.34482759,-0.36472149,0.13012182,0.94333333,0.09108317
GC4,RANDOM FOREST,ROC,0.68333333,0.74801061,0.98115079,-0.01052049,-0.09887598,0.05146111,0.13012182,0.748,0.29495407
GC5,KNN,MODEL VALUE,0.72,0.82278481,0.84729064,-0.13732004,-0.15717279,-0.12204294,0.089701,0.90066667,0.10469548
GC5,KNN,REWEIGHTING,0.70045363,0.80729096,0.86817223,-0.11754412,-0.15717279,-0.12204294,-0.00136067,0.90066667,0.10469548
GC5,KNN,DIR,0.67666667,0.78299776,0.85645604,-0.11572536,-0.20670604,-0.05639997,0.17774086,0.90533333,0.17666711
GC5,KNN,AD,0.32333333,0.22222222,13.4375,0.77131783,0.7999619,0.7516293,-0.34385382,0.85933333,0.97132383
GC5,KNN,PRR,0.69666667,0.80922432,0.71966527,-0.25968992,-0.34616117,-0.20404962,0.22868217,0.894,0.11340183
GC5,KNN,EO,0.49666667,0.54925373,0.96693122,-0.01384275,-0.02819585,-0.00360841,0.02380952,0.65,0.54592451
GC5,KNN,CEO,0.67666667,0.80482897,0.69047619,-0.30952381,-0.34482759,-0.28779841,0.17774086,0.94866667,0.09145137
GC5,KNN,ROC,0.67,0.76029056,0.98285714,-0.01162791,-0.14726615,0.07721608,0.19767442,0.86133333,0.24125335
GC6,LOGISTIC REGRESSION,MODEL VALUE,0.70666667,0.81196581,0.5443038,-0.41860465,-0.44960945,-0.3966329,0.21262458,0.88333333,0.1224651
GC6,LOGISTIC REGRESSION,REWEIGHTING,0.67519522,0.78788723,0.55597661,-0.40470302,-0.44960945,-0.3966329,0.18100084,0.88333333,0.1224651
GC6,LOGISTIC REGRESSION,DIR,0.70666667,0.81034483,0.58251232,-0.37541528,-0.39855211,-0.35811721,0.18493909,0.86533333,0.1291159
GC6,LOGISTIC REGRESSION,AD,0.71333333,0.82868526,1.00341491,0.00332226,0.01104972,-0.00046914,-0.00110742,0.97466667,0.06320146
GC6,LOGISTIC REGRESSION,PRR,0.69666667,0.80922432,0.71966527,-0.25968992,-0.34616117,-0.20404962,0.22868217,0.894,0.11340183
GC6,LOGISTIC REGRESSION,EO,0.53333333,0.61956522,0.99369748,-0.00332226,0.01028767,-0.01084018,-0.0166113,0.63466667,0.43630918
GC6,LOGISTIC REGRESSION,CEO,0.68,0.80408163,0.52380952,-0.47619048,-0.44827586,-0.4933687,0.15393134,0.932,0.10125901
GC6,LOGISTIC REGRESSION,ROC,0.67,0.72268908,0.96737908,-0.01605759,-0.07258525,0.02664444,0.08693245,0.76,0.34101051
GC7,SVM,MODEL VALUE,0.71333333,0.82157676,0.70491803,-0.27906977,-0.29377024,-0.26776424,0.13732004,0.91,0.0955244
GC7,SVM,REWEIGHTING,0.68589162,0.80131468,0.71867349,-0.26448733,-0.29377024,-0.26776424,0.0631713,0.91,0.0955244
GC7,SVM,DIR,0.71,0.81606765,0.73191489,-0.24418605,-0.26614593,-0.22797806,0.13344408,0.884,0.11221698
GC7,SVM,AD,0.71333333,0.82868526,1.00341491,0.00332226,0.01104972,-0.00046914,-0.00110742,0.97466667,0.06320146
GC7,SVM,PRR,0.69666667,0.80922432,0.71966527,-0.25968992,-0.34616117,-0.20404962,0.22868217,0.894,0.11340183
GC7,SVM,EO,0.64333333,0.73965937,0.99421965,-0.00387597,-0.0396266,0.02164524,0.0559247,0.652,0.26389022
GC7,SVM,CEO,0.69333333,0.81526104,0.71428571,-0.28571429,-0.24137931,-0.31299735,0.05869324,0.944,0.08062114
GC7,SVM,ROC,0.69333333,0.75,1.04656085,0.02436323,-0.12230901,0.12366068,0.19712071,0.76266667,0.30215166
